,id,name,price,original_price,discount,discount_rate,rating_average,review_count,thumbnail_url,quantity_sold,categories,description,authors,publisher,publication_date,manufacturer,book_cover,number_of_page
0,22881852,English Grammar in Use Book w Ans,160200,198000,37800,19,5.0,2607,https://salt.tikicdn.com/cache/280x280/ts/product/cc/e8/0c/e0611dc69eb0990860885091780b0362.jpg,12118,"['English Books', 'Education - Teaching', 'Grammar, vocabulary & skills']","The world's best-selling grammar series for learners of English. English Grammar in Use Fourth edition is an updated version of the world's best-selling grammar title. It has a fresh, appealing new design and clear layout, with revised and updated examples, but retains all the key features of clarity and accessibility that have made the book popular with millions of learners and teachers around the world. This 'with answers' version is ideal for self-study. An online version, book without answers, and book with answers are available separately.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",Raymond Murphy,,2017-01-01 00:42:01,CAMBRIDGE UNIVERSITY,,0
1,49181801,Oxford Advanced Learner's Dictionary : Paperback - 10th Edition (With 1 Year's Access To Both Premium Online And App),522660,562000,39340,7,5.0,497,https://salt.tikicdn.com/cache/280x280/ts/product/a6/f7/1c/43681a8cf8992b442828b319aada425e.jpg,2293,"['English Books', 'Dictionary', 'English Language Dictionary']","
Oxford Advanced Learner's Dictionary 10th edition builds English vocabulary better than ever before and leads the way to more confident, successful communication in English.The Oxford Advanced Learner's Dictionary is the world's bestselling advanced level dictionary for learners of English.Now in its 10th edition, the Oxford Advanced Learner's Dictionary, or OALD, is your complete guide to learning English vocabulary with definitions that learners can understand, example sentences showing language in use, and the new Oxford 3000™ and Oxford 5000™ word lists providing core vocabulary that every student needs to learn.OALD is more than a dictionary. Take your English skills to the next level with extra resources and practice including the online iSpeaker and iWriter, or practise words anytime, anywhere with the Oxford Advanced Learner's Dictionary app.Includes 1 year's access to Oxford Advanced Learner's Dictionary premium online and 1 year's access to the Oxford Advanced Learner's Dictionary 10th edition app.- Over 60,000 words, 79,000 phrases, 89,000 meanings and 109,000 examples- 1000+ NEW words and meanings (chatbot, fake news, microplastic, woke)- NEW Oxford 3000™ and Oxford 5000™ keywords graded by CEFR level- NEW OPAL™ (Oxford Phrasal Academic Lexicon) teaches academic keywords- Visual Vocabulary Builder including NEW illustrations for topic vocabulary- Oxford Speaking Tutor and iSpeaker prepare you for exams and presentations – UPDATED iSpeaker coming soon- Oxford Writing Tutor and iWriter help you plan, write and review your written work- Teaching resources including 50 NEW vocabulary worksheets and NEW and revised lesson plans available onlineGiá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....","Diana Lea, Jennifer Bradbery",,2020-01-16 17:49:15,Oxford University Press,,0
2,22878271,Essential Grammar in Use Book with Answers Edition: A Self-Study Reference and Practice Book for Elementary Learners of English,165540,178000,12460,7,5.0,524,https://salt.tikicdn.com/cache/280x280/ts/product/72/39/81/e167dd981ca6ed10da8ab8256da67971.jpg,3097,"['English Books', 'Education - Teaching', 'Grammar, vocabulary & skills']","Essential Grammar in Use is a self-study reference and practice book for elementary-level learners (A1-B1), used by millions of people around the world. With clear examples, easy-to-follow exercises and answer key, the Fourth edition is perfect for independent study, covering all the areas of grammar that you will need at this level. The book has an easy-to-use format of two-page units with clear explanations of grammar points on the left-hand page, and practice exercises on the right. It also includes plenty of additional exercises and a Study Guide to help you find the grammar units you need to study.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",Raymond Murphy,,2024-03-13 14:32:08,CAMBRIDGE UNIVERSITY,,319
3,185226873,Achievers Grade 7 Student's Book with CLIL Book,251000,251000,0,0,5.0,25,https://salt.tikicdn.com/cache/280x280/ts/product/c1/17/af/e65b9a124f1fddf6962742c30d41a889.jpg,283,"['English Books', 'Education - Teaching', 'ELTs']","Achievers Grade là bộ sách dành cho chương trình tiếng Anh tăng cường trung học cơ sở tại TP Hồ Chí Minh. Bộ sách bao gồm 4 cấp độ từ lớp 6 đến lớp 9, được biên soạn theo khung tham chiếu năng lực tiếng Anh Châu Âu (CEFR), giúp người học phát triển đồng đều 4 kỹ năng tiếng Anh và trang bị đủ kiến thức để tham dự các kỳ thi tiếng Anh quốc tế của Cambridge như KET, PET, FCE, IELTS và TOEFL Junio
Đặc điểm nổi bật
​​​​​​​Achievers giúp học viên:
Học tiếng Anh giao tiếp hiện đại
Cải thiện vốn từ vựng của học viên thông qua bộ từ vựng và mục xây dựng từ vựng
Tập trung vào các dạng bài thi Cambridge và TOEFL thông qua Mục Luyện Thi
Tham gia vào các Dự án nhằm phát triển kỹ năng nói

#sach #dtp_books #sach_tieng_anh #English_book #Achievers_Grade
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,,,Nhà Xuất Bản Đại Học Huế,,0
4,185500894,i-Learn Smart Start 5 Student's Book Special Edition,113000,113000,0,0,5.0,13,https://salt.tikicdn.com/cache/280x280/ts/product/28/03/e0/7f0a59892713e0c0d49a2642199f97be.jpg,193,"['English Books', 'Education - Teaching', 'ELTs']","i-Learn Smart Start Special Edition là bộ giáo trình tiếng Anh gồm 5 cấp độ dành cho học sinh Tiểu học tại Việt Nam. Giáo trình được nghiên cứu và biên soạn bởi đội ngũ các tác giả quốc tế kết hợp với đội ngũ giảng viên của Trường Đại học Sư phạm TP. Hồ Chí Minh, các chuyên gia Việt Nam và đặc biệt là sự tham gia của hơn 300 giáo viên hiện đang giảng dạy phần mềm i-Learn Smart Start Special Edition. Với hơn 70 năm kinh nghiệm giảng dạy tại Việt Nam và khu vực châu Á cùng với năng lực xuất bản cũng như khả năng hiểu rõ môi trường dạy và học tiếng Anh tại Việt Nam, i-Learn Smart Start Special Edition là sự phối hợp giữa xu hướng giảng dạy tiếng Anh quốc tế với nhu cầu thực tế của lớp học tại Việt Nam.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,,2023-03-17 15:28:10,Nhà Xuất Bản Đại Học Sư Phạm,,0
5,25203389,Advanced Grammar in Use Book with Answers  Edition: A Self-Study Reference and Practice Book for Advanced Learners of English,163800,178000,14200,8,5.0,316,https://salt.tikicdn.com/cache/280x280/ts/product/a1/f0/92/d5a94a425736c33e10cbae9cf5de978c.jpg,1851,"['English Books', 'Education - Teaching', 'Grammar, vocabulary & skills']","Official preparation for the 'IELTS Life Skills' Speaking and Listening exam. This Student's Book prepares candidates for the IELTS Life Skills - B1 Speaking and Listening exam which is used to prove language level for UK Visa requirements. It includes four practice tests for the exam with a full answer key. There is an introduction to the exam with information about what to expect and guidelines for teachers on how to assess students. There are model Speaking answers, practice exercises and exam tips to support candidates. The accompanying Audio is downloadable using an access code in the book. Audio CDs are also available separately for class use.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",Martin Hewings,,,CAMBRIDGE UNIVERSITY,,294
6,185500892,i-Learn Smart Start 5 Workbook Special Edition,81000,81000,0,0,5.0,16,https://salt.tikicdn.com/cache/280x280/ts/product/c6/d8/a7/ae31e95cb0777a459888646cf49fee51.jpg,208,"['English Books', 'Education - Teaching', 'ELTs']","i-Learn Smart Start là bộ giáo trình tiếng Anh gồm 5 cấp độ dành cho học sinh Tiểu học tại Việt Nam. Giáo trình được nghiên cứu và biên soạn bởi đội ngũ các tác giả quốc tế kết hợp với đội ngũ giảng viên của Trường Đại học Sư phạm TP. Hồ Chí Minh, các chuyên gia Việt Nam và đặc biệt là sự tham gia của hơn 300 giáo viên hiện đang giảng dạy phần mềm i-Learn Smart Start.
Với hơn 70 năm kinh nghiệm giảng dạy tại Việt Nam và khu vực châu Á cùng với năng lực xuất bản cũng như khả năng hiểu rõ môi trường dạy và học tiếng Anh tại Việt Nam, i-Learn Smart Start là sự phối hợp giữa xu hướng giảng dạy tiếng Anh quốc tế với nhu cầu thực tế của lớp học tại Việt Nam.
i-Learn Smart Start Special​​​​​​​
​​​​​​​
i-Learn Smart Start là một khóa học 5 cấp độ dành cho trẻ con học tiếng Anh.
Chương trình dạy vững chắc.
Bám sát khung chương trình Cambridge Young Learner.
Định dạng bài học thân thiện với người học.
Định dạng rõ ràng, nhất quán và logic giúp bài học dễ dàng chuẩn bị, giảng dạy và dễ nắm bắt.
Ngữ liệu truyền động lực.
Những bài hát hấp dẫn, những câu chuyện truyện tranh đầy màu sắc và những trò chơi vui nhộn thu hút sự quan tâm của học sinh.
Cân bằng hiệu quả các kỹ năng.
Sự kết hợp giữa các hoạt động luyện Nghe, Nói, Đọc và Viết ở mức trình độ phù hợp để phát triển một cách có hệ thống khả năng của học sinh.
Chú trọng nội dung và văn hóa.
Các môn học chính (toán, khoa học, địa lý, v.v.) và văn hóa quốc tế.
Kỹ năng làm bài kiểm tra.
Mỗi chủ đề có các bài tập giúp học sinh làm quen với những dạng đề phổ biến trong các kỳ thi Cambridge Young Learners.
#sach #dtp_books #sach_tieng_anh #English #English_book #i-learn_Smart_StartGiá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,,2023-03-17 17:28:53,Nhà Xuất Bản Đại Học Sư Phạm,,0
7,194197858,Achievers grade 7 Workbook,112000,112000,0,0,5.0,15,https://salt.tikicdn.com/cache/280x280/ts/product/0c/09/fb/23880014850c36cfac4ba3910c3f1b28.jpg,192,"['English Books', 'Education - Teaching', 'ELTs']","Achievers Grade là bộ sách dành cho chương trình tiếng Anh tăng cường trung học cơ sở tại TP Hồ Chí Minh. Bộ sách bao gồm 4 cấp độ từ lớp 6 đến lớp 9, được biên soạn theo khung tham chiếu năng lực tiếng Anh Châu Âu (CEFR), giúp người học phát triển đồng đều 4 kỹ năng tiếng Anh và trang bị đủ kiến thức để tham dự các kỳ thi tiếng Anh quốc tế của Cambridge như KET, PET, FCE, IELTS và TOEFL Junio
Đặc điểm nổi bật
​​​​​​​Achievers giúp học viên:
Học tiếng Anh giao tiếp hiện đại
Cải thiện vốn từ vựng của học viên thông qua bộ từ vựng và mục xây dựng từ vựng
Tập trung vào các dạng bài thi Cambridge và TOEFL thông qua Mục Luyện Thi
Tham gia vào các Dự án nhằm phát triển kỹ năng nói

#sach #dtp_books #sach_tieng_anh #English_book #Achievers_Grade
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,,2022-03-01 10:11:11,Nhà Xuất Bản Đại Học Huế,,0
8,151597210,Practice Test Grade 6,118000,118000,0,0,5.0,23,https://salt.tikicdn.com/cache/280x280/ts/product/e7/c9/83/5071394d0a6acd8525882e3b64665559.jpg,345,"['English Books', 'Education - Teaching', 'ELTs']","
Khách mua hàng sau khi nhận hàng vui lòng liên hệ lại shop để nhận file nghe và answer key.
Practice Tests là bộ đề kiểm tra Tiếng Anh gồm 4 cấp độ dành cho học sinh trung học cơ sở. Bộ sách này được biên soạn theo Chương Trình của Bộ Giáo dục & Đào tạo giúp các em làm quen với các bài kiểm tra đánh giá hiện hành, đồng thời rèn luyện kỹ năng và củng cố kiến thức tiếng Anh.
Ngoài ra, Practice Tests còn cung cấp cho Giáo viên và Học sinh nguồn tài nguyên hiện đại cập nhật nhất, có hệ thống, và đáp ứng nhu cầu giảng dạy và học tập thực tế.
Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",,,,Nhà Xuất Bản Đại Học Huế,,0
9,155351487,IELTS 16 ACADEMIC,195000,195000,0,0,5.0,76,https://salt.tikicdn.com/cache/280x280/ts/product/df/b8/75/4653c21405d28df0cace1393301e0b2a.jpg,578,"['English Books', 'Education - Teaching', 'IELTS Books']","Cambridge IELTS 16 – Cuốn sách thứ 16 trong bộ sách huyền thoạiCambridge IELTS từ nhà xuất bản Cambridge, với 2 phiên bản Academic vàGeneral Training đã chính thức lên kệ tại Công ty Cổ phần Sách Việt Nam.Với đầy đủ 4 kỹ năng listening, reading, writing, speaking cùng với answerkeys, Cambridge IELTS 16 sẽ cung cấp những kiến thức đầy đủ từ cấu trúcbài thi, các modul cần thiết, bài mẫu hay các kĩ năng cần thiết giúp bạn cóthể sẵn sàng bước vào kì thi IELTS với những trải nghiệm tốt nhất, sát vớithực tế nhất.Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....",Cambridge,,2022-01-04 10:52:09,CAMBRIDGE,,142
